fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id,name,date
10.19,0.42,0.36,1.9,0.057,21.4,45.9,0.99884,3.38,0.75,11.44,7,197,Weingut Chardonnay Premium 491,2024-06-21
9.39,0.46,0.57,2.7,0.081,19.2,34.6,0.99798,3.19,0.71,10.6,5,198,Villa Cabernet Reserve 259,2024-09-05
8.25,0.4,0.35,2.1,0.087,14.6,40.0,0.99826,2.97,0.87,10.79,6,199,Chateau Sauvignon Reserve 411,2024-10-04
10.73,0.46,0.21,4.1,0.085,17.5,45.1,0.99614,3.22,0.74,10.4,5,200,Chateau Syrah Special 703,2022-04-20
10.89,0.46,0.35,1.4,0.097,22.0,62.6,0.99848,3.22,0.83,10.65,5,201,Domaine Cabernet Grand Cru 972,2023-09-15
10.47,0.41,0.37,1.3,0.077,10.8,28.5,0.99464,3.1,0.79,10.11,5,202,Chateau Cabernet Reserve 572,2024-05-02
9.88,0.4,0.5,2.3,0.062,22.7,40.0,0.99795,3.27,0.81,9.85,6,203,Weingut Syrah Grand Cru 232,2024-12-06
9.51,0.49,0.44,2.7,0.062,22.9,49.3,0.99817,3.08,0.82,10.14,5,204,Castello Pinot Premium 305,2024-05-28
9.31,0.44,0.48,2.6,0.09,18.8,48.2,1.00031,3.52,0.92,9.78,6,205,Villa Syrah Grand Cru 62,2022-07-23
10.17,0.28,0.42,2.6,0.087,9.6,26.3,0.99802,3.2,0.78,10.68,6,206,Domaine Riesling Estate 271,2022-06-16
9.03,0.43,0.4,1.3,0.07,22.5,48.3,0.99664,3.31,0.85,10.76,6,207,Domaine Cabernet Estate 566,2022-06-03
11.02,0.46,0.32,2.3,0.075,22.7,38.0,0.99783,3.35,0.83,9.98,5,208,Domaine Merlot Premium 462,2024-08-20
10.13,0.4,0.45,1.2,0.078,10.5,23.9,0.99725,3.3,0.73,10.74,6,209,Villa Merlot Estate 296,2023-08-03
11.69,0.53,0.5,2.4,0.062,17.8,45.3,0.99593,3.19,0.77,11.05,6,210,Bodega Sauvignon Premium 73,2023-04-24
10.78,0.5,0.23,3.7,0.068,23.1,43.4,0.99983,3.27,0.71,11.3,6,211,Villa Sauvignon Special 604,2023-02-10
9.87,0.53,0.4,2.7,0.073,22.7,41.5,0.99688,3.36,0.89,10.17,6,212,Castello Merlot Grand Cru 231,2022-11-02
11.51,0.29,0.45,2.8,0.071,20.1,45.5,0.99716,3.31,0.67,11.51,7,213,Villa Sauvignon Estate 74,2022-05-03
10.84,0.47,0.51,2.1,0.072,17.0,36.4,0.99764,3.33,0.68,10.37,6,214,Domaine Sauvignon Classic 610,2023-08-15
9.44,0.34,0.55,0.8,0.074,15.7,35.6,0.99839,3.38,0.73,10.16,6,215,Castello Merlot Premium 706,2023-09-15
10.62,0.38,0.41,3.0,0.072,24.8,55.7,0.99732,3.16,0.79,10.99,6,216,Bodega Pinot Classic 513,2024-10-08
10.21,0.17,0.6,2.5,0.059,13.7,21.2,0.99388,3.21,0.72,11.25,7,217,Castello Merlot Grand Cru 41,2024-06-03
11.29,0.36,0.46,2.8,0.082,26.6,40.2,0.99651,3.27,0.84,11.24,7,218,Bodega Chardonnay Grand Cru 257,2022-02-22
9.21,0.36,0.51,2.6,0.082,10.3,19.6,0.99854,3.2,0.7,11.09,6,219,Chateau Cabernet Special 857,2022-02-12
10.02,0.21,0.47,1.8,0.05,17.2,33.5,0.99676,3.04,0.7,11.37,7,220,Bodega Sauvignon Classic 591,2022-03-24
